no,shop,name,rating,date,review_text
1,Konvy,ปราย ป.,5,2024-08-27,ได้รับสินค้าแล้วครบถ้วน แพ็ค สินค้ามาอย่างดี ซื้อกับ มั่นใจว่าได้สินค้าของแท้ ครบถ้วน
2,Konvy,8***5,5,2024-09-11,อ่อนโยนต่อผิว เหมาะสำหรับการใช้งานทุกวัน เหมาะสำหรับการเล่นกีฬาและกิจกรรมกลางแจ้ง สูตรไม่เหนียวเหนอะหนะ เหมาะสำหรับกิจกรรมกลางแจ้ง การป้องกันที่ยาวนาน
3,Konvy,Maneesika P.,5,2024-05-11,เป็นกันแดดที่ดีมาก ถูกมาก ชอบมาก ของดีมีคุณภาพ ของแท้แน่นอน ร้านให้บริการดีไม่มีผิดหวัง แพคของมาดีมาก จัดส่งค่อนข้างเร็ว
4,Konvy,N***.,5,2024-06-06,เหมาะสำหรับกีฬาและกิจกรรมกลางแจ้ง ไม่อุดตันรูขุมขน สูตรไม่เหนียว เหมาะสำหรับกีฬาและกิจกรรมกลางแจ้ง เหมาะสำหรับใช้ทุกวัน
5,Konvy,p***a,5,2024-05-08,กันแดดสูตรนี้เหมาะสำหรับกีฬาและกิจกรรมกลางแจ้งเนื้อลิควิดค่อนค่างเหลวเหงื่อออกไม่เยิ้มไม่ละลายเมคอัพป้องกันได้ทั้งวัน
6,Konvy,t***a,5,2024-10-01,ระดับ สูตรกันน้ำ เนื้อสัมผัสไม่มัน เหมาะสำหรับการใช้งานทุกวัน เหมาะสำหรับการเล่นกีฬาและกิจกรรมกลางแจ้ง
7,Konvy,ด***.,5,2024-09-18,ส่งเร็ว
8,Konvy,P***.,5,2024-09-18,เหมาะสำหรับกิจกรรมกลางแจ้ง ไม่ทิ้งคราบขาว เหมาะสำหรับการใช้งานทุกวัน เหมาะสำหรับการเล่นกีฬาและกิจกรรมกลางแจ้ง ร้านจัดส่งรวดเร็ว แพ็คดี สินค้าค่อนข้างใหม่ รุ่นนี้ใช้ดีจริง
9,Konvy,Petsanee S.,5,2024-09-18,การป้องกันที่ยาวนาน อ่อนโยนต่อผิว เหมาะสำหรับการเล่นกีฬาและกิจกรรมกลางแจ้ง ไม่ทิ้งคราบขาว สูตรไม่เหนียวเหนอะหนะ
10,Konvy,Tanuch M.,5,2024-09-18,เนื้อสัมผัสไม่มัน น้ำหนักเบาและสวมใส่สบาย ป้องกันรังสีกว้างสเปกตรัม เหมาะสำหรับการเล่นกีฬาและกิจกรรมกลางแจ้ง เหมาะสำหรับกิจกรรมกลางแจ้ง
11,Konvy,A***.,5,2024-09-18,เนื้อสัมผัสไม่มัน ไม่อุดตันรูขุมขน เหมาะสำหรับการใช้งานทุกวัน ทิ้งผิวด้าน อ่อนโยนต่อผิว ครีมกันแดดที่มีประสิทธิภาพสูง
12,Konvy,M***.,5,2024-09-11,ให้การปกป้องตลอดวัน ให้การปกป้องตลอดวัน ให้การปกป้องตลอดวัน น้ำหนักเบาและสวมใส่สบาย น้ำหนักเบาและสวมใส่สบาย
13,Konvy,Petsanee S.,5,2024-09-11,กันน้ำไม่ทิ้งคราบขาว สูตรไม่เหนียวเหนอะหนะ ป้องกันรังสีกว้างสเปกตรัม เหมาะสำหรับการใช้งานทุกวัน สูตรกันน้ำ
