no,shop,name,rating,date,review_text
1,BEAUTRIUM,ส***.,5,25 พ.ย. 2021,คุณภาพของสินค้าดีมากกก
2,BEAUTRIUM,น***.,5,11 ธ.ค. 2021,ได้รับสินค้าครบแล้วนะคะ ตรงตามที่สั่งไปค่ะ คุณภาพสินค้าดีมากค่ะ แพคสินค้ามาอย่างดีเลย ขนส่งรวดเร็วดีมากค่ะ
3,BEAUTRIUM,ยุพาวรรณ พ.,5,15 ก.ค. 2019,สินค้าใช้ดีอยู่แล้ว  รอบนี้ได้ราคาถูกอีก. สินค้าแพคมาดีจัดส่งไวมากค่ะ
4,BEAUTRIUM,Roh C.,5,03 มี.ค. 2020,สินค้าดี บรรจุภัณฑ์เรียบร้อยส่งไว
5,BEAUTRIUM,นวลจันทร์ เ.,5,16 ธ.ค. 2019,ได้ของเร็วคะ แพ็คอย่างดี
6,BEAUTRIUM,*******288,5,08 ก.พ. 2023,ใช้แล้วแพ้คะ มีผื่น
7,BEAUTRIUM,T***i,5,09 มิ.ย. 2022,ใช้ดี ซึ่มเร็ว ไม่เหนียว
8,BEAUTRIUM,M***.,5,09 ก.ค. 2021,การจัดส่ง รวดเร็วดีมาก
9,BEAUTRIUM,ก***.,5,22 ต.ค. 2019,ใช้ดี ส่งเร็วค่ะ
10,BEAUTRIUM,Junejune,5,22 ก.พ. 2020,จัดส่งเร็วมาก
11,BEAUTRIUM,S***.,5,29 พ.ย. 2019,ส่งเร็ว ของใหม่ ราคาดีกว่า super
12,BEAUTRIUM,Wacharee K.,5,29 พ.ค. 2021,
13,BEAUTRIUM,ส***.,5,24 ส.ค. 2024,
14,BEAUTRIUM,สุนัน แ.,5,24 ก.พ. 2023,
15,BEAUTRIUM,0***0,5,03 มี.ค. 2022,
16,BEAUTRIUM,Treetip W.,5,05 ก.พ. 2022,
17,BEAUTRIUM,ตัวเล็กตัวน้อย,5,30 ม.ค. 2022,
18,BEAUTRIUM,ศิริศักดิ์ จ.,5,17 ธ.ค. 2021,
19,BEAUTRIUM,ด***.,5,21 ธ.ค. 2021,
20,BEAUTRIUM,b***i,5,06 ธ.ค. 2021,
21,BEAUTRIUM,K***.,5,03 ธ.ค. 2021,
22,BEAUTRIUM,S***i,5,12 ก.ย. 2021,
23,BEAUTRIUM,นวรัตน์ เ.,5,20 ส.ค. 2021,
24,BEAUTRIUM,Ruethai B.,5,05 ส.ค. 2021,
25,BEAUTRIUM,ApichayaNok,5,21 ส.ค. 2021,
26,BEAUTRIUM,Neuza M.,5,28 เม.ย. 2021,
27,BEAUTRIUM,Theeraphat I.,5,20 เม.ย. 2021,
28,BEAUTRIUM,วรรณศิริ ม.,5,09 ม.ค. 2021,
29,BEAUTRIUM,กมลทิพย์ เ.,5,10 ธ.ค. 2020,
30,BEAUTRIUM,นารา ธ.,5,10 พ.ย. 2020,
31,BEAUTRIUM,นารา ธ.,5,10 พ.ย. 2020,
32,BEAUTRIUM,Kanyapat S.,5,30 มิ.ย. 2020,
33,BEAUTRIUM,Pakpinya,5,25 พ.ค. 2020,
34,BEAUTRIUM,Muk K.,5,10 พ.ค. 2020,
35,BEAUTRIUM,n***a,5,08 เม.ย. 2020,
36,BEAUTRIUM,Janjaokar O.,5,11 มี.ค. 2020,
37,BEAUTRIUM,เอรวรรณ แ.,5,04 ก.พ. 2020,
38,BEAUTRIUM,Miew P.,5,17 ม.ค. 2020,
39,BEAUTRIUM,ส***.,5,13 พ.ย. 2019,
40,BEAUTRIUM,o***y,5,11 ต.ค. 2019,
41,Konvy,ธ***.,5,11 ส.ค. 2024,"สูตรอ่อนโยนสำหรับผิวแพ้ง่าย,  สูตรน้ำหนักเบา,  เนื้อสัมผัสไม่มัน, เหมาะสำหรับการใช้งานประจำวัน, 
** เดิมใชสีเขียว ลองสีชมพูน่าจะดีไม่แพ้กัน **"
