no,shop,name,rating,date,review_text
1,Kao Beauty & Personal Care,P***.,5,12 ส.ค. 2024,"อ่อนโยนและไม่ระคายเคือง, ให้ฐานที่เรียบเนียนสำหรับการแต่งหน้า, ให้ฐานที่เรียบเนียนสำหรับการแต่งหน้า, ไม่ทิ้งคราบขาว, รู้สึกสบายบนผิว, การป้องกันที่ยาวนาน, ควบคุมน้ำมันและความเงางาม, เหมาะสำหรับใช้ใต้เครื่องสำอาง, ไม่ทำให้เกิดสิว, เหมาะสำหรับใช้ใต้เครื่องสำอาง,"
2,Kao Beauty & Personal Care,Kunnika P.,5,02 พ.ค. 2024,ได้รับสินค้าเรียบร้อยแล้วนะคะ สั่งไปแล้วหลายรอบ ประทับใจทางร้านมากค่ะ ส่งไว ราคาไม่แพง  สินค้าตรงปก ได้รับสินค้าครบตามจำนวนและรายการสินค้าที่สั่ง ขอบคุณมากค่ะ
3,Kao Beauty & Personal Care,G***?,5,08 มิ.ย. 2024,"รุ่นนี้ดีนะ ถูก ใช้ดี แต่รอแห้งนิดนึง ตอนทา มีกลิ่นของกันแดดหน่อย แต่ไม่ได้รบกวนชีวิต บางเบาสบายผิวดี ไม่ทำให้รูขุมขนอุดตัน, เหมาะสำหรับใช้ทุกวัน, อ่อนโยนและไม่ทำให้ผิวระคายเคือง, ช่วยปกป้องจากแสงแดดสูง, ดีสำหรับใช้ใต้เมคอัพ, เบาสบายและไม่มีความมัน,"
4,Kao Beauty & Personal Care,สุดารัตน์ ย.,5,26 มี.ค. 2024,"คุณภาพ: ดี
 เนื้อสัมผัส: ดี
 ประสิทธิภาพ: ดี
ได้รับสินค้าเรียบร้อยแล้วค่ะ การจัดส่งและบรรจุภัณฑ์ ทำได้ดีและเรียยร้อยมาก คุณภาพของสินค้า และราคาดีมาก ใช้มา 4-5 หลอดแล้วค่ะ อุดหนุนได้ค่ะ สินค้าดีมากค่ะ"
5,Kao Beauty & Personal Care,Phan S.,5,2 สัปดาห์ก่อน,"น้ำหนักเบาและไม่มันเยิ้ม, เหมาะสำหรับการใช้งานทุกวัน, อ่อนโยนและไม่ระคายเคือง, ควบคุมน้ำมันและความเงางาม,"
6,Kao Beauty & Personal Care,S***.,5,09 ม.ค. 2024,"คุณภาพ:  ดีมาก
 เนื้อสัมผัส:  ดีมาก
เป็นครึมกันแดดที่ใช้มาตลอด ใช้มานานมาก และจะใช้ต่อไป คุณภาพดีมาก ราคาไม่แพง"
7,Kao Beauty & Personal Care,Y***e,5,25 ส.ค. 2024,"รู้สึกสบายบนผิว, ไม่อุดตันรูขุมขน, ไม่ทำให้เกิดสิว, อ่อนโยนและไม่ระคายเคือง, ควบคุมน้ำมันและความเงางาม, ควบคุมน้ำมันและความเงางาม,"
8,Kao Beauty & Personal Care,P***i,5,20 ส.ค. 2024,"ประสิทธิภาพ:  ให้ฐานที่เรียบเนียนสำหรับการแต่งหน้า, เรียบเนียนและทาได้ง่าย, รู้สึกสบายบนผิว, ให้การปกป้องจากแสงแดดสูง,"
9,Kao Beauty & Personal Care,0***0,5,18 ส.ค. 2024,ได้สินค้าตรงปก...สินค้าใหม่..มีคุณภาพ🥰ส่งเร็ว..ขนส่งดี.เรัยบร้อย...แพ้คสินค้าดีมาก...จะมาอุดหนุนอีกค่ะ👍
10,Kao Beauty & Personal Care,ว***.,5,28 ก.ค. 2024,"ได้สินค้าครบถ้วนถูกต้องตามรายการสั่งซื้อ แพ็คมาดี มีของแถม

ได้สินค้าครบถ้วนถูกต้องตามรายการสั่งซื้อ แพ็คมาดี มีของแถม"
