no,shop,name,rating,date,review_text
1,Konvy,ปราย ป.,5,27 ส.ค. 2024,ได้รับสินค้าแล้วครบถ้วน   แพ็คbubble สินค้ามาอย่างดี  ซื้อกับ Konvy มั่นใจว่าได้สินค้าของแท้ ครบถ้วน
2,Konvy,Galina Z.,5,4 สัปดาห์ก่อน,"теперь это мой самый любимый SPF. очень лёгкая текстура, вообще не ощущается на коже. не вызывает дополнительной липкости или потения. использую во время пробежек и прогулок. всем рекомендую!
у меня кожа с розацеа, для меня оказался отличным вариантом, хотя есть отдушка."
3,Konvy,8***5,5,3 สัปดาห์ก่อน,"อ่อนโยนต่อผิว, เหมาะสำหรับการใช้งานทุกวัน, เหมาะสำหรับการเล่นกีฬาและกิจกรรมกลางแจ้ง, สูตรไม่เหนียวเหนอะหนะ, เหมาะสำหรับกิจกรรมกลางแจ้ง, การป้องกันที่ยาวนาน,"
4,Konvy,Maneesika P.,5,11 พ.ค. 2024,เป็นกันแดดที่ดีมาก ถูกมาก ชอบมาก ของดีมีคุณภาพ ของแท้แน่นอน ร้านให้บริการดีไม่มีผิดหวัง แพคของมาดีมาก จัดส่งค่อนข้างเร็ว
5,Konvy,N***.,5,06 มิ.ย. 2024,"เหมาะสำหรับกีฬาและกิจกรรมกลางแจ้ง, ไม่อุดตันรูขุมขน, สูตรไม่เหนียว, เหมาะสำหรับกีฬาและกิจกรรมกลางแจ้ง, เหมาะสำหรับใช้ทุกวัน,"
6,Konvy,p***a,5,08 พ.ค. 2024,"กันแดดสูตรนี้เหมาะสำหรับกีฬาและกิจกรรมกลางแจ้งเนื้อลิควิดค่อนค่างเหลวเหงื่อออกไม่เยิ้มไม่ละลายเมคอัพป้องกันได้ทั้งวัน,"
7,Konvy,t***a,5,1 วันก่อน,"ระดับ SPF:  สูตรกันน้ำ, เนื้อสัมผัสไม่มัน, เหมาะสำหรับการใช้งานทุกวัน, เหมาะสำหรับการเล่นกีฬาและกิจกรรมกลางแจ้ง,"
8,Konvy,ด***.,5,2 สัปดาห์ก่อน,ส่งเร็ว 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
9,Konvy,P***.,5,2 สัปดาห์ก่อน,"เหมาะสำหรับกิจกรรมกลางแจ้ง, ไม่ทิ้งคราบขาว, เหมาะสำหรับการใช้งานทุกวัน, เหมาะสำหรับการเล่นกีฬาและกิจกรรมกลางแจ้ง, *️⃣ ร้านจัดส่งรวดเร็ว แพ็คดี สินค้าค่อนข้างใหม่ รุ่นนี้ใช้ดีจริง ✨"
10,Konvy,Petsanee S.,5,2 สัปดาห์ก่อน,"การป้องกันที่ยาวนาน, อ่อนโยนต่อผิว, เหมาะสำหรับการเล่นกีฬาและกิจกรรมกลางแจ้ง, ไม่ทิ้งคราบขาว, สูตรไม่เหนียวเหนอะหนะ,"
11,Konvy,Tanuch M.,5,2 สัปดาห์ก่อน,"เนื้อสัมผัสไม่มัน, น้ำหนักเบาและสวมใส่สบาย, ป้องกันรังสีกว้างสเปกตรัม, เหมาะสำหรับการเล่นกีฬาและกิจกรรมกลางแจ้ง, เหมาะสำหรับกิจกรรมกลางแจ้ง,"
12,Konvy,A***.,5,2 สัปดาห์ก่อน,"เนื้อสัมผัสไม่มัน, ไม่อุดตันรูขุมขน, เหมาะสำหรับการใช้งานทุกวัน, ทิ้งผิวด้าน, อ่อนโยนต่อผิว, ครีมกันแดดที่มีประสิทธิภาพสูง,"
13,Konvy,M***.,5,3 สัปดาห์ก่อน,"ให้การปกป้องตลอดวัน, ให้การปกป้องตลอดวัน, ให้การปกป้องตลอดวัน, น้ำหนักเบาและสวมใส่สบาย, น้ำหนักเบาและสวมใส่สบาย,"
14,Konvy,Petsanee S.,5,3 สัปดาห์ก่อน,"กันน้ำ:ไม่ทิ้งคราบขาว, สูตรไม่เหนียวเหนอะหนะ, ป้องกันรังสีกว้างสเปกตรัม, เหมาะสำหรับการใช้งานทุกวัน, สูตรกันน้ำ,"
15,Konvy,Y***.,5,3 สัปดาห์ก่อน,"Non-sticky formula, Gentle on the skin, Highly effective sunscreen, Non-greasy texture, Provides broad-spectrum protection,"
